id,genre,title
60021793,Award-Winning Movies,A Beautiful Mind
80075560,Award-Winning Movies,The Big Short
70270776,Award-Winning Movies,2 Guns
950149,Award-Winning Movies,Seven
60036639,Award-Winning Movies,Mary Poppins
70207663,Award-Winning Movies,The Girl with the Dragon Tattoo
80161371,Award-Winning Movies,"Your Name. – Gestern, heute und für immer"
60036359,Award-Winning Movies,Schindler's List
70079583,Award-Winning Movies,The Dark Knight
80044545,Award-Winning Movies,Beasts of No Nation
902003,Award-Winning Movies,Reservoir Dogs
80200267,Award-Winning Movies,The Ballad of Buster Scruggs
70110558,Award-Winning Movies,Sherlock Holmes
70197201,Award-Winning Movies,The Gruffalo
70120085,Award-Winning Movies,Harry Potter and the Deathly Hallows: Part 2
70105601,Award-Winning Movies,The Hurt Locker
60003895,Award-Winning Movies,The Sword in the Stone
80168079,Award-Winning Movies,Icarus
60002256,Award-Winning Movies,Remember the Titans
70059982,Award-Winning Movies,Knocked Up
70178639,Award-Winning Movies,Jumping the Broom
60010111,Award-Winning Movies,Back to the Future Part II
70137742,Award-Winning Movies,Rango
262866,Award-Winning Movies,Apollo 13
70112732,Award-Winning Movies,Julie & Julia
1190864,Award-Winning Movies,Anastasia
18164546,Award-Winning Movies,What Dreams May Come
70244437,Award-Winning Movies,The Great Gatsby
731091,Award-Winning Movies,Malcolm X
80203147,Romantic Movies,To All the Boys I’ve Loved Before
80999729,Romantic Movies,The Last Summer
80143556,Romantic Movies,The Kissing Booth
80996743,Romantic Movies,"Eat, Play, Love"
70140922,Romantic Movies,Just Go With It
81002685,Romantic Movies,Battle
81031939,Romantic Movies,Trotz allem
80202920,Romantic Movies,Someone Great
80075563,Romantic Movies,How to Be Single
70296965,Romantic Movies,Tyler Perry's The Single Moms Club
70272768,Romantic Movies,Türkisch für Anfänger
70123920,Romantic Movies,Easy A
70130445,Romantic Movies,Eat Pray Love
70097579,Romantic Movies,Mamma Mia!
80121387,Romantic Movies,Elisa und Marcela
1181461,Romantic Movies,Titanic
70209253,Romantic Movies,The Lucky One
70099113,Romantic Movies,Twilight
80142058,Romantic Movies,Naked
80184100,Romantic Movies,Set It Up
70137790,Romantic Movies,Burlesque
80239639,Romantic Movies,Sierra Burgess Is a Loser
70167075,Romantic Movies,Friends with Benefits
21304015,Romantic Movies,Notting Hill
80175421,Romantic Movies,Kein Mann für leichte Stunden
80038361,Romantic Movies,Aloha
70298734,Romantic Movies,The Fault in Our Stars
70167068,Romantic Movies,"Crazy, Stupid, Love"
70159317,Romantic Movies,No Strings Attached
80178720,Romantic Movies,Kiss & Cry
70084801,Romantic Movies,Sex and the City: The Movie
70261674,Romantic Movies,About Time
80195049,Romantic Movies,Ibiza
391018,Romantic Movies,Coming to America
70103759,Romantic Movies,The Ugly Truth
70117302,Romantic Movies,Dear John
70045854,Romantic Movies,The Holiday
70202142,Romantic Movies,The Twilight Saga: Breaking Dawn: Part 1
60000724,Romantic Movies,Forrest Gump
80189630,Romantic Movies,Nappily Ever After
80020963,Romantic Movies,The Longest Ride
70206632,Romantic Movies,Twilight: Breaking Dawn - Biss zum Ende der Nacht - Teil 2
60000577,Romantic Movies,Grease
70113010,Romantic Movies,The Twilight Saga: New Moon
80172958,Romantic Movies,Newness
70128696,Romantic Movies,The Bounty Hunter
70131764,Romantic Movies,Life as We Know It
80093103,Romantic Movies,Palmen im Schnee – Eine grenzenlose Liebe
80161371,Romantic Movies,"Your Name. – Gestern, heute und für immer"
60026122,Romantic Movies,How to Lose a Guy in 10 Days
70042688,Romantic Movies,The Break-Up
70083114,Romantic Movies,The Other Boleyn Girl
70296523,Romantic Movies,The Other Woman
70050484,Romantic Movies,Step Up
384406,Romantic Movies,Clueless
80037677,Romantic Movies,The Last: Naruto the Movie
80238204,Romantic Movies,A Christmas Prince: The Royal Wedding
70084800,Romantic Movies,Forgetting Sarah Marshall
70093223,Romantic Movies,Made of Honor
70053831,Romantic Movies,Norbit
80184625,Romantic Movies,Irreplaceable You
70059982,Romantic Movies,Knocked Up
70178639,Romantic Movies,Jumping the Broom
1154359,Romantic Movies,My Best Friend's Wedding
70130443,Romantic Movies,Charlie St. Cloud
70218677,Romantic Movies,Think Like a Man
70115878,Romantic Movies,The Twilight Saga: Eclipse
80160759,Romantic Movies,A Christmas Prince
80224106,Romantic Movies,My Perfect Romance
60020322,Romantic Movies,Bridget Jones's Diary
70127239,Romantic Movies,You Again
18164546,Romantic Movies,What Dreams May Come
70244437,Romantic Movies,The Great Gatsby
80192097,Romantic Movies,SPF-18
445386,Romantic Movies,Dirty Dancing
80091938,Movies for ages 8 to 10,The Angry Birds Movie
70220028,Movies for ages 8 to 10,Hotel Transylvania
80135073,Movies for ages 8 to 10,Beauty and the Beast (2017)
60004478,Movies for ages 8 to 10,Harry Potter and the Sorcerer's Stone
70021636,Movies for ages 8 to 10,Madagascar
80033394,Movies for ages 8 to 10,Minions
80192815,Movies for ages 8 to 10,Barbie Dolphin Magic
70216224,Movies for ages 8 to 10,Madagascar 3: Europe's Most Wanted
60024925,Movies for ages 8 to 10,Harry Potter and the Chamber of Secrets
60000901,Movies for ages 8 to 10,How the Grinch Stole Christmas
60020786,Movies for ages 8 to 10,The Princess Diaries
80204923,Movies for ages 8 to 10,Benji
70011204,Movies for ages 8 to 10,The SpongeBob SquarePants Movie
14607635,Movies for ages 8 to 10,Mulan
80121839,Movies for ages 8 to 10,Smurfs: The Lost Village
70213513,Movies for ages 8 to 10,Brave
70033005,Movies for ages 8 to 10,Matilda
70218755,Movies for ages 8 to 10,Diary of a Wimpy Kid: Dog Days
70021648,Movies for ages 8 to 10,Charlie and the Chocolate Factory
60020916,Movies for ages 8 to 10,Spy Kids
70118952,Movies for ages 8 to 10,Diary of a Wimpy Kid
80166319,Movies for ages 8 to 10,The Little Mermaid
80048061,Movies for ages 8 to 10,Hotel Transylvania 2
70075480,Movies for ages 8 to 10,Kung Fu Panda
70109893,Movies for ages 8 to 10,How to Train Your Dragon
70289949,Movies for ages 8 to 10,The Lego Movie
60034567,Movies for ages 8 to 10,Harry Potter and the Prisoner of Azkaban
70273612,Movies for ages 8 to 10,Cloudy with a Chance of Meatballs 2
80071348,Movies for ages 8 to 10,Kung Fu Panda 3
60034572,Movies for ages 8 to 10,Shrek 2
81046846,Movies for ages 8 to 10,Pokémon the Movie: I Choose You!
60004479,Movies for ages 8 to 10,"Monsters, Inc."
80988892,Movies for ages 8 to 10,Next Gen
70060010,Movies for ages 8 to 10,Bee Movie
70077512,Movies for ages 8 to 10,The Game Plan
70243449,Movies for ages 8 to 10,Rise of the Guardians
510854,Movies for ages 8 to 10,The Flintstones
70099116,Movies for ages 8 to 10,Madagascar: Escape 2 Africa
70113007,Movies for ages 8 to 10,Cloudy with a Chance of Meatballs
80102579,Movies for ages 8 to 10,Full Out
986399,Movies for ages 8 to 10,Space Jam
70060002,Movies for ages 8 to 10,Mr. Bean's Holiday
70307653,Movies for ages 8 to 10,Pan
596974,Movies for ages 8 to 10,Home Alone
70060017,Movies for ages 8 to 10,The Water Horse: Legend of the Deep
70126574,Movies for ages 8 to 10,Kung Fu Panda 2
60030118,Movies for ages 8 to 10,Casper
70117295,Movies for ages 8 to 10,Shrek Forever After
70044595,Movies for ages 8 to 10,Monster House
70044882,Movies for ages 8 to 10,Over the Hedge
70107121,Movies for ages 8 to 10,Ice Age: Dawn of the Dinosaurs
70120525,Movies for ages 8 to 10,Percy Jackson & the Olympians: The Lightning Thief
523650,Movies for ages 8 to 10,Free Willy
596983,Movies for ages 8 to 10,Home Alone 2: Lost in New York
60000485,Movies for ages 8 to 10,Kirikou and the Sorceress
70125931,Movies for ages 8 to 10,The Karate Kid
60022502,Movies for ages 8 to 10,It Takes Two
70002007,Movies for ages 8 to 10,Shark Tale
70202053,Movies for ages 8 to 10,Puss in Boots
70047102,Movies for ages 8 to 10,Shrek the Third
70141972,Movies for ages 8 to 10,The Smurfs
80131731,Movies for ages 8 to 10,The Lego Batman Movie
80190146,Movies for ages 8 to 10,Jessica Darling's It List
60036639,Movies for ages 8 to 10,Mary Poppins
80008240,Movies for ages 8 to 10,Vorstadt Krokodile
70215452,Movies for ages 8 to 10,Mirror Mirror
80199682,Movies for ages 8 to 10,The Christmas Chronicles
70077556,Movies for ages 8 to 10,The Spiderwick Chronicles
70305898,Movies for ages 8 to 10,The Book of Life
60028694,Movies for ages 8 to 10,Dennis the Menace
70269568,Movies for ages 8 to 10,The Smurfs 2
81048914,Movies for ages 8 to 10,LEGO Marvel Super Heroes: Black Panther
80141858,Movies for ages 8 to 10,LEGO Jurassic World: The Indominus Escape
70295666,Movies for ages 8 to 10,Rio 2
70039543,Movies for ages 8 to 10,The Bugs Bunny Road Runner Movie
80216302,Dramas,Beats
80201490,Dramas,Dumplin'
80200047,Dramas,The Boy Who Harnessed the Wind
80200571,Dramas,The Highwaymen
80135710,Dramas,The Shack
81110498,Dramas,ANIMA
70101375,Dramas,The Boy in the Striped Pajamas
70130445,Dramas,Eat Pray Love
80121387,Dramas,Elisa und Marcela
1181461,Dramas,Titanic
80171659,Dramas,To the Bone
80169469,Dramas,The Dirt
70209253,Dramas,The Lucky One
80191608,Dramas,Francisco Boix – der Fotograf von Mauthausen
70137790,Dramas,Burlesque
80216541,Dramas,Leute kommen und gehen
80998967,Dramas,Good Sam
70230640,Dramas,Django Unchained
70084788,Dramas,21
80995799,Dramas,Walk. Ride. Rodeo.
70019004,Dramas,Coach Carter
80038361,Dramas,Aloha
60024942,Dramas,Catch Me If You Can
70298734,Dramas,The Fault in Our Stars
70167068,Dramas,"Crazy, Stupid, Love"
80178720,Dramas,Kiss & Cry
70084801,Dramas,Sex and the City: The Movie
70261674,Dramas,About Time
70039177,Dramas,Get Rich or Die Tryin'
81076251,Dramas,Krumme Dinger am Bosporus 2
80240715,Dramas,ROMA
70050481,Dramas,Invincible
880640,Dramas,Pulp Fiction
80096984,Dramas,Amateur
70044889,Dramas,The Devil Wears Prada
70117302,Dramas,Dear John
80058397,Dramas,Creed
70060009,Dramas,American Gangster
70202142,Dramas,The Twilight Saga: Breaking Dawn: Part 1
70251895,Dramas,The Impossible
60000724,Dramas,Forrest Gump
80015343,Dramas,Focus
80189630,Dramas,Nappily Ever After
80020963,Dramas,The Longest Ride
70019012,Dramas,Casino
70206632,Dramas,Twilight: Breaking Dawn - Biss zum Ende der Nacht - Teil 2
80204349,Dramas,Fucking Berlin
60021793,Dramas,A Beautiful Mind
80007616,Dramas,La cité rose
80075560,Dramas,The Big Short
70113010,Dramas,The Twilight Saga: New Moon
80172958,Dramas,Newness
70131764,Dramas,Life as We Know It
454552,Dramas,The Doors
80093103,Dramas,Palmen im Schnee – Eine grenzenlose Liebe
60036359,Dramas,Schindler's List
70044599,Dramas,Gridiron Gang
70042688,Dramas,The Break-Up
70083114,Dramas,The Other Boleyn Girl
80044545,Dramas,Beasts of No Nation
70050484,Dramas,Step Up
80200267,Dramas,The Ballad of Buster Scruggs
70201437,Dramas,Moneyball
80238204,Dramas,A Christmas Prince: The Royal Wedding
81080942,Dramas,Der Unbarmherzige
80031499,Dramas,Magic Mike XXL
80081151,Dramas,Miracles from Heaven
18171082,Dramas,Patch Adams
80993095,Dramas,Chopsticks
80184625,Dramas,Irreplaceable You
60002256,Dramas,Remember the Titans
81031981,Dramas,Tschick
70178624,Dramas,Footloose
70130443,Dramas,Charlie St. Cloud
80098467,Dramas,White Girl
80988062,Sci-Fi & Fantasy,Black Mirror: Bandersnatch
70297757,Sci-Fi & Fantasy,Godzilla
